year,Rank,Name,Country,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2015,301-350,Illinois Institute of Technology,United States,,,,
2015,301-350,University of Duisburg-Essen,Germany,,,,
2015,301-350,University of Houston,United States,,,,
2015,301-350,University of Tampere,Finland,,,,
2015,301-350,University of Nebraska Medical Center,United States,,,,
2015,301-350,University of Valencia,Spain,,,,
2015,301-350,Novosibirsk State University,Russian Federation,,,,
2015,301-350,University of Tsukuba,Japan,,,,
2015,301-350,Renmin University of China,China,,,,
2015,301-350,San Diego State University,United States,,,,
2015,301-350,University of Stuttgart,Germany,,,,
2015,301-350,Bangor University,United Kingdom,,,,
2015,301-350,University of Campinas,Brazil,,,,
2015,301-350,University Cadi Ayyad of Marrakech,Morocco,,,,
2015,301-350,Deakin University,Australia,,,,
2015,301-350,Hong Kong Baptist University,Hong Kong,,,,
2015,301-350,University of Bath,United Kingdom,,,,
2015,301-350,Wayne State University,United States,,,,
2015,301-350,University of Warsaw,Poland,,,,
2015,301-350,Creighton University,United States,,,,
2015,301-350,University of Manitoba,Canada,,,,
2015,301-350,Sun Yat-sen University,China,,,,
2015,301-350,University of Oklahoma,United States,,,,
2015,301-350,Zhejiang University,China,,,,
2015,301-350,University of Connecticut,United States,,,,
2015,301-350,University of Jyväskylä,Finland,,,,
2015,301-350,Drexel University,United States,,,,
2015,301-350,University of Pisa,Italy,,,,
2015,301-350,Autonomous University of Madrid,Spain,,,,
2015,301-350,University of Montana,United States,,,,
2015,301-350,University of Crete,Greece,,,,
2015,301-350,University of Canterbury,New Zealand,,,,
2015,301-350,Politecnico di Milano,Italy,,,,
2015,301-350,Oregon State University,United States,,,,
2015,301-350,Charles Darwin University,Australia,,,,
2015,301-350,Charles University,Czechia,,,,
2015,301-350,Kansas State University,United States,,,,
2015,301-350,University of Essex,United Kingdom,,,,
2015,351-400,Mizzou - University of Missouri,United States,,,,
2015,351-400,Hokkaido University,Japan,,,,
2015,351-400,National Cheng Kung University (NCKU),Taiwan,,,,
2015,351-400,Wuhan University of Technology,China,,,,
2015,351-400,National Sun Yat-Sen University,Taiwan,,,,
2015,351-400,University of Eastern Finland,Finland,,,,
2015,351-400,Swinburne University of Technology,Australia,,,,
2015,351-400,Claude Bernard University Lyon 1,France,,,,
2015,351-400,Isfahan University of Technology,Iran,,,,
2015,351-400,Umeå University,Sweden,,,,
2015,351-400,University of Ferrara,Italy,,,,
2015,351-400,University of Turku,Finland,,,,
2015,351-400,George Mason University,United States,,,,
2015,351-400,Waseda University,Japan,,,,
2015,351-400,University of Hertfordshire,United Kingdom,,,,
2015,351-400,Murdoch University,Australia,,,,
2015,351-400,Bielefeld University,Germany,,,,
2015,351-400,University of Florence,Italy,,,,
2015,351-400,Hanyang University,South Korea,,,,
2015,351-400,Indian Institute of Technology Bombay,India,,,,
2015,351-400,University of Portsmouth,United Kingdom,,,,
2015,351-400,University of Navarra,Spain,,,,
2015,351-400,Western Sydney University,Australia,,,,
2015,351-400,Lehigh University,United States,,,,
2015,351-400,University of Liège,Belgium,,,,
2015,351-400,Vrije Universiteit Brussel,Belgium,,,,
2015,351-400,University of Vermont,United States,,,,
2015,351-400,University of Lisbon,Portugal,,,,
2015,351-400,RCSI University of Medicine and Health Sciences,Ireland,,,,
2015,351-400,Linköping University,Sweden,,,,
2015,351-400,University of Rome III,Italy,,,,
2015,351-400,Wuhan University,China,,,,
2015,351-400,Ruhr University Bochum,Germany,,,,
2015,351-400,Washington State University,United States,,,,
2015,351-400,Indian Institute of Technology Roorkee,India,,,,
2015,351-400,University of Seoul,South Korea,,,,
2015,351-400,Kyushu University,Japan,,,,
2015,351-400,Aberystwyth University,United Kingdom,,,,
2015,351-400,UiT The Arctic University of Norway,Norway,,,,
2015,351-400,Ewha Womans University,South Korea,,,,
2015,351-400,Aston University,United Kingdom,,,,
2015,351-400,University of Bayreuth,Germany,,,,
2015,351-400,King Mongkut’s University of Technology Thonburi,Thailand,,,,
2015,351-400,Aalborg University,Denmark,,,,
2015,351-400,University of Graz,Austria,,,,
2015,351-400,University of Bari Aldo Moro,Italy,,,,
2015,351-400,University of Minho,Portugal,,,,
2015,351-400,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,,,,
2015,351-400,Curtin University,Australia,,,,
2015,351-400,University of Waikato,New Zealand,,,,
