year,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2013,276-300,Bangor University,United Kingdom,-,27.6,25.7,53.8,31.6,70.3
2013,276-300,Virginia Polytechnic Institute and State University,United States,-,38.5,44.4,37.2,27.9,27.8
2013,276-300,Montpellier University,France,-,22.2,25.8,64.4,32.8,54.2
2013,276-300,"Colorado State University, Fort Collins",United States,-,30.8,32.0,55.8,-,29.8
2013,276-300,University of Bath,United Kingdom,-,28.0,28.8,50.2,42.8,75.9
2013,276-300,Ruhr University Bochum,Germany,-,36.7,32.9,42.4,54.3,48.3
2013,276-300,Aberystwyth University,United Kingdom,-,23.8,21.7,64.3,34.9,63.1
2013,276-300,Shanghai Jiao Tong University,China,-,43.4,37.9,31.3,76.1,20.7
2013,276-300,Drexel University,United States,-,34.7,14.9,65.1,34.7,36.6
2013,276-300,TU Dresden,Germany,-,29.7,15.6,63.9,36.1,48.9
2013,276-300,Tokyo Medical and Dental University (TMDU),Japan,-,47.5,21.6,47.1,45.4,21.9
2013,276-300,University of Trento,Italy,-,28.7,21.9,62.1,45.3,51.2
2013,276-300,University of Bayreuth,Germany,-,25.6,14.9,72.1,35.4,50.4
2013,276-300,University of South Carolina-Columbia,United States,-,37.5,28.0,53.2,30.8,31.3
2013,276-300,University of Montana,United States,-,28.9,14.9,72.1,34.1,24.9
2013,276-300,Oregon State University,United States,-,27.1,24.2,64.1,31.0,34.2
2013,276-300,University of Turin,Italy,-,22.6,23.4,66.2,40.4,36.3
2013,276-300,Boğaziçi University,Turkey,-,35.4,33.9,48.1,38.4,36.7
2013,301-350,University of Canterbury,New Zealand,-,19.9,24.0,48.4,49.8,88.0
2013,301-350,"University of Maryland, Baltimore County",United States,-,19.4,16.4,65.2,32.6,32.6
2013,301-350,Vrije Universiteit Brussel,Belgium,-,26.7,26.8,53.8,37.5,48.4
2013,301-350,University of Fribourg,Switzerland,-,20.8,11.0,69.4,-,59.5
2013,301-350,University of South Australia,Australia,-,28.4,25.0,34.1,83.7,81.0
2013,301-350,SUNY University at Albany,United States,-,30.2,30.0,52.9,-,27.8
2013,301-350,Medical University of Vienna,Austria,-,23.7,13.4,66.0,33.2,66.2
2013,301-350,University of Kentucky,United States,-,39.1,27.8,45.5,-,21.7
2013,301-350,University College Cork,Ireland,-,25.3,19.5,47.4,38.8,71.5
2013,301-350,Washington State University,United States,-,29.9,30.6,47.1,55.8,33.9
2013,301-350,Murdoch University,Australia,-,19.4,18.9,49.6,44.2,83.3
2013,301-350,University of Eastern Finland,Finland,-,22.4,19.1,58.1,36.7,39.5
