year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2024,199,Queensland University of Technology,58.7,33.9,42.1,89.5,85.9,82.2,=
2024,199,Ulsan National Institute of Science and Technology (UNIST),58.7,47.7,40.8,85.0,94.6,46.5,=
2024,201–250,Aalborg University,55.9–58.6,33.7,45.0,83.0,80.6,72.4,
2024,201–250,Aalto University,55.9–58.6,42.0,43.1,79.7,87.2,81.8,
2024,201–250,University of Aberdeen,55.9–58.6,36.4,35.8,81.8,78.9,97.5,
2024,201–250,Universitat Autònoma de Barcelona (UAB),55.9–58.6,45.1,41.4,84.8,67.6,68.8,
2024,201–250,University of Calgary,55.9–58.6,36.5,41.4,81.7,88.8,85.2,
2024,201–250,"University of California, Santa Cruz",55.9–58.6,34.9,39.8,93.3,73.2,77.9,
2024,201–250,Curtin University,55.9–58.6,30.2,36.5,87.5,78.8,94.7,
2024,201–250,Friedrich Schiller University Jena,55.9–58.6,43.2,42.0,81.8,79.8,69.3,
2024,201–250,George Washington University,55.9–58.6,48.2,35.7,86.0,67.3,66.1,
2024,201–250,Goethe University Frankfurt,55.9–58.6,40.2,38.2,82.4,74.6,70.8,
2024,201–250,University of Gothenburg,55.9–58.6,34.0,43.4,90.2,75.4,65.7,
2024,201–250,University of Hawai’i at Mānoa,55.9–58.6,42.0,42.5,75.8,68.3,77.3,
2024,201–250,University of Illinois Chicago,55.9–58.6,50.3,33.9,80.0,76.7,61.0,
2024,201–250,Indian Institute of Science,55.9–58.6,62.9,57.8,53.9,96.0,31.1,
2024,201–250,University of Iowa,55.9–58.6,46.1,37.0,79.9,88.6,55.8,
2024,201–250,King Fahd University of Petroleum and Minerals,55.9–58.6,37.6,38.7,86.3,90.9,84.8,
2024,201–250,Korea University,55.9–58.6,48.6,46.6,72.0,99.7,62.5,
2024,201–250,University of Leicester,55.9–58.6,33.4,34.2,95.5,67.9,95.1,
2024,201–250,Université Libre de Bruxelles,55.9–58.6,35.8,45.0,83.5,76.4,89.6,
2024,201–250,University of Luxembourg,55.9–58.6,39.6,39.4,78.1,63.0,93.2,
2024,201–250,Medical University of Graz,55.9–58.6,32.0,33.5,91.6,94.9,81.9,
2024,201–250,Medical University of Vienna,55.9–58.6,40.0,28.7,93.5,94.1,81.7,
2024,201–250,University of Miami,55.9–58.6,48.5,34.7,83.2,80.4,67.5,
2024,201–250,Moscow Institute of Physics and Technology (MIPT),55.9–58.6,63.5,48.8,55.1,68.6,72.7,
2024,201–250,Nagoya University,55.9–58.6,55.3,55.7,54.3,99.5,41.9,
2024,201–250,University of Newcastle,55.9–58.6,33.8,38.8,85.5,76.5,83.4,
2024,201–250,"Northeastern University, US",55.9–58.6,40.2,33.6,93.3,68.9,83.3,
2024,201–250,University of Padua,55.9–58.6,46.1,38.5,84.1,77.1,53.1,
2024,201–250,Politecnico di Milano,55.9–58.6,42.9,49.7,71.9,95.3,65.3,
2024,201–250,Pompeu Fabra University,55.9–58.6,35.9,38.3,90.5,78.4,74.7,
2024,201–250,University of Potsdam,55.9–58.6,37.3,44.7,80.4,91.0,68.5,
2024,201–250,Queen’s University Belfast,55.9–58.6,34.0,38.0,88.7,65.0,98.4,
2024,201–250,University of Reading,55.9–58.6,37.5,40.6,84.1,70.8,95.5,
2024,201–250,Rutgers University–New Brunswick,55.9–58.6,46.4,37.2,78.4,80.1,63.7,
2024,201–250,Sant’Anna School of Advanced Studies – Pisa,55.9–58.6,50.4,39.0,80.1,90.3,60.8,
2024,201–250,University of São Paulo,55.9–58.6,59.8,60.7,57.3,68.2,42.5,
2024,201–250,Southern University of Science and Technology (SUSTech),55.9–58.6,32.9,40.8,92.8,60.3,69.3,
2024,201–250,Sun Yat-sen University,55.9–58.6,46.6,39.5,83.2,86.2,39.1,
2024,201–250,University of Sussex,55.9–58.6,29.7,35.6,92.7,66.1,95.4,
2024,201–250,Swinburne University of Technology,55.9–58.6,31.7,34.0,91.3,75.4,85.6,
2024,201–250,Tel Aviv University,55.9–58.6,40.7,49.7,83.0,76.2,52.9,
2024,201–250,Tianjin University,55.9–58.6,46.1,47.6,71.4,93.5,55.3,
2024,201–250,Tilburg University,55.9–58.6,32.8,44.9,80.1,82.6,84.5,
2024,201–250,University College Dublin,55.9–58.6,34.3,41.3,84.0,75.1,88.1,
2024,201–250,University of Utah,55.9–58.6,43.5,38.5,87.0,83.5,40.9,
2024,201–250,Vrije Universiteit Brussel,55.9–58.6,37.8,42.6,80.9,92.4,78.5,
2024,201–250,Western University,55.9–58.6,40.2,42.9,75.2,99.6,87.5,
2024,201–250,University of Wollongong,55.9–58.6,36.8,39.3,84.0,91.4,91.7,
2024,251–300,Abu Dhabi University,53.1–55.8,40.8,30.0,85.8,25.5,97.8,
2024,251–300,University of Bath,53.1–55.8,34.7,35.1,80.5,65.3,95.0,
2024,251–300,Beijing Institute of Technology,53.1–55.8,45.1,44.0,74.7,82.1,36.8,
2024,251–300,University of Bergen,53.1–55.8,36.7,33.9,84.2,69.4,76.3,
2024,251–300,Boston College,53.1–55.8,43.5,30.5,84.6,60.7,57.8,
2024,251–300,Brandeis University,53.1–55.8,36.7,28.3,84.6,64.2,81.4,
2024,251–300,"University of California, Riverside",53.1–55.8,35.9,35.4,85.7,70.6,77.0,
2024,251–300,Deakin University,53.1–55.8,28.3,34.6,91.4,72.2,85.7,
2024,251–300,University of East Anglia,53.1–55.8,31.1,32.0,90.9,51.6,88.7,
2024,251–300,École Normale Supérieure de Lyon,53.1–55.8,58.5,46.8,53.9,78.5,68.0,
2024,251–300,Florida State University,53.1–55.8,38.2,38.6,79.4,68.2,58.8,
2024,251–300,Griffith University,53.1–55.8,30.5,37.8,82.7,74.6,81.8,
2024,251–300,Heinrich Heine University Düsseldorf,53.1–55.8,36.7,34.5,82.3,82.2,66.8,
2024,251–300,University of Hohenheim,53.1–55.8,35.0,35.5,85.7,80.5,61.7,
2024,251–300,Humanitas University,53.1–55.8,32.3,27.9,98.0,62.8,67.1,
2024,251–300,Johannes Gutenberg University of Mainz,53.1–55.8,39.5,32.6,82.3,89.0,66.0,
2024,251–300,Khalifa University,53.1–55.8,31.7,35.9,78.4,95.6,97.4,
2024,251–300,King Abdulaziz University,53.1–55.8,37.8,28.6,90.7,46.1,75.4,
2024,251–300,University of Konstanz,53.1–55.8,39.8,44.4,71.5,97.4,76.4,
2024,251–300,Kyung Hee University,53.1–55.8,40.3,40.0,71.0,95.9,71.5,
2024,251–300,LUT University,53.1–55.8,33.4,36.7,91.7,65.1,64.2,
2024,251–300,La Trobe University,53.1–55.8,28.9,35.4,88.1,73.8,88.2,
2024,251–300,Université Laval,53.1–55.8,40.7,38.7,73.7,94.2,76.2,
2024,251–300,Linköping University,53.1–55.8,28.3,41.3,86.4,92.8,70.7,
2024,251–300,Loughborough University,53.1–55.8,36.5,34.4,77.4,70.2,91.5,
2024,251–300,Macau University of Science and Technology,53.1–55.8,33.1,34.2,78.9,65.0,94.7,
2024,251–300,University of Malaya,53.1–55.8,43.4,35.4,72.6,52.5,84.7,
2024,251–300,Medical University of Innsbruck,53.1–55.8,33.2,29.3,89.6,98.6,88.3,
2024,251–300,Nankai University,53.1–55.8,48.8,31.4,85.3,66.5,49.3,
2024,251–300,North Carolina State University,53.1–55.8,46.0,41.4,73.3,79.1,61.8,
2024,251–300,University of Oulu,53.1–55.8,33.1,38.2,84.1,66.0,59.5,
2024,251–300,Qatar University,53.1–55.8,31.3,35.6,83.4,61.8,96.0,
2024,251–300,Queen’s University,53.1–55.8,37.5,38.0,72.3,94.0,76.0,
2024,251–300,RCSI University of Medicine and Health Sciences,53.1–55.8,32.3,36.6,81.7,76.9,91.6,
2024,251–300,RMIT University,53.1–55.8,35.5,36.2,83.2,73.2,92.8,
2024,251–300,Ruhr University Bochum,53.1–55.8,39.8,46.7,72.2,85.9,60.0,
2024,251–300,Sejong University,53.1–55.8,31.4,34.5,94.0,73.8,68.6,
2024,251–300,Semmelweis University,53.1–55.8,45.2,27.8,76.9,66.4,79.9,
2024,251–300,Simon Fraser University,53.1–55.8,28.7,36.7,84.2,83.1,92.9,
2024,251–300,South China University of Technology,53.1–55.8,36.6,38.2,83.2,92.8,44.0,
2024,251–300,University of Southern Denmark,53.1–55.8,29.8,33.5,89.1,91.5,76.9,
2024,251–300,University of South Florida,53.1–55.8,31.7,36.4,87.6,99.9,66.7,
2024,251–300,Stony Brook University,53.1–55.8,43.6,29.7,81.4,66.5,78.8,
2024,251–300,University of Stuttgart,53.1–55.8,44.8,49.5,63.1,99.6,58.9,
2024,251–300,University of Surrey,53.1–55.8,31.3,34.5,88.0,73.0,96.8,
2024,251–300,Università della Svizzera italiana,53.1–55.8,34.8,26.4,84.0,88.3,98.5,
2024,251–300,Swansea University,53.1–55.8,27.6,30.2,89.7,62.8,89.5,
2024,251–300,University of Tasmania,53.1–55.8,31.6,38.4,82.0,70.5,90.9,
2024,251–300,Technical University of Darmstadt,53.1–55.8,42.4,48.1,62.6,99.8,65.4,
2024,251–300,TU Wien,53.1–55.8,43.8,44.1,57.6,96.2,86.7,
2024,251–300,Virginia Polytechnic Institute and State University,53.1–55.8,42.5,39.4,78.8,76.7,65.4,
2024,251–300,Vita-Salute San Raffaele University,53.1–55.8,34.6,26.9,98.3,66.8,49.8,
2024,251–300,Xi’an Jiaotong University,53.1–55.8,46.9,48.0,70.0,98.3,37.8,
2024,301–350,Beihang University,51.1–53.0,42.9,43.5,68.6,94.7,34.5,
2024,301–350,"Birkbeck, University of London",51.1–53.0,34.7,29.7,78.0,63.5,92.4,
2024,301–350,University of Bremen,51.1–53.0,39.8,39.0,68.8,67.2,65.0,
2024,301–350,University at Buffalo,51.1–53.0,39.9,34.1,76.1,74.8,71.4,
2024,301–350,Università Cattolica del Sacro Cuore,51.1–53.0,35.2,30.0,89.4,74.5,52.3,
2024,301–350,"China Medical University, Taiwan",51.1–53.0,27.3,32.8,92.4,89.9,49.7,
2024,301–350,Copenhagen Business School,51.1–53.0,21.1,32.3,92.1,43.8,91.5,
2024,301–350,Dalhousie University,51.1–53.0,30.8,31.6,78.9,71.7,89.1,
2024,301–350,Drexel University,51.1–53.0,44.1,26.0,79.6,75.6,62.2,
2024,301–350,University of Dundee,51.1–53.0,26.7,32.1,84.9,83.0,91.1,
2024,301–350,East China Normal University,51.1–53.0,42.7,35.1,76.3,66.3,56.4,
2024,301–350,University of Essex,51.1–53.0,30.0,31.8,81.0,57.7,97.4,
2024,301–350,Flinders University,51.1–53.0,29.2,35.4,78.4,71.0,88.9,
2024,301–350,University of Galway,51.1–53.0,32.9,33.8,76.7,83.0,77.6,
2024,301–350,Université Grenoble Alpes,51.1–53.0,42.2,37.9,66.9,69.1,71.6,
2024,301–350,Hanyang University,51.1–53.0,45.4,40.4,62.0,99.4,66.5,
2024,301–350,Hebrew University of Jerusalem,51.1–53.0,46.4,36.3,68.9,71.0,46.8,
2024,301–350,Hong Kong Baptist University,51.1–53.0,34.0,28.9,77.2,69.6,97.8,
2024,301–350,University of Innsbruck,51.1–53.0,34.4,33.1,70.3,79.6,94.7,
2024,301–350,University of Kiel,51.1–53.0,33.3,33.3,81.6,63.0,62.9,
2024,301–350,Kyushu University,51.1–53.0,55.0,47.5,51.2,98.4,48.8,
2024,301–350,University of Liège,51.1–53.0,33.5,38.7,72.7,95.5,73.6,
2024,301–350,Montpellier University,51.1–53.0,38.3,35.6,74.7,68.1,68.5,
2024,301–350,University of Navarra,51.1–53.0,35.6,30.4,82.3,79.1,74.4,
2024,301–350,Northwestern Polytechnical University,51.1–53.0,37.4,40.6,74.7,86.7,48.4,
2024,301–350,Norwegian University of Science and Technology,51.1–53.0,36.0,38.4,74.7,67.8,66.2,
